iter	Logloss
0	0.5174520051
1	0.3934635172
2	0.3046076166
3	0.2433999845
4	0.20105225
5	0.1688002842
6	0.1452021525
7	0.1288522266
8	0.1089296532
9	0.09846825579
10	0.08720736117
11	0.07473315727
12	0.06913094576
13	0.06023441362
14	0.05346571259
15	0.04961328169
16	0.04573900773
17	0.04429089542
18	0.04323318215
19	0.04136149219
20	0.04045150794
21	0.03815702942
22	0.03745533886
23	0.03579317872
24	0.03535810331
25	0.03378755669
26	0.03315951546
27	0.03251343078
28	0.03210084332
29	0.03157107387
30	0.03084255451
31	0.02962236997
32	0.02875672147
33	0.02830776131
34	0.0276239377
35	0.02733103841
36	0.02688296852
37	0.02628825972
38	0.02587178433
39	0.02556026543
40	0.02537859001
41	0.02507397633
42	0.02459644913
43	0.02424401783
44	0.02380917346
45	0.02360000512
46	0.02247941447
47	0.02242246133
48	0.02194405688
49	0.02090898996
50	0.02049935149
51	0.02028093022
52	0.01888267015
53	0.0185042982
54	0.01817648744
55	0.01776490121
56	0.01757334482
57	0.01747323081
58	0.01736518183
59	0.01715542779
60	0.01683922999
61	0.01679462366
62	0.01664329956
63	0.01647349082
64	0.0163017953
65	0.01623307454
66	0.01603746779
67	0.01587439511
68	0.01563066448
69	0.01552549897
70	0.01529651975
71	0.01521241255
72	0.01473657643
73	0.0146756228
74	0.01454251284
75	0.01432650948
76	0.01416267305
77	0.01345064543
78	0.01275110915
79	0.01246639619
80	0.0124353597
81	0.01222740858
82	0.01205991964
83	0.01201309153
84	0.01173245714
85	0.01159891227
86	0.01132639253
87	0.01118451776
88	0.01103579953
89	0.01090787824
90	0.01043449217
91	0.01034125033
92	0.01008734961
93	0.01005909236
94	0.009922546387
95	0.009817791263
96	0.009630189537
97	0.009074641739
98	0.008987462319
99	0.008948876353
100	0.008752609362
101	0.008691898916
102	0.008585814833
103	0.008556757377
104	0.00853357149
105	0.008350643507
106	0.008318856991
107	0.008222665114
108	0.008173839659
109	0.007933985199
110	0.007825821486
111	0.007385273729
112	0.007370751217
113	0.007338310987
114	0.00732358417
115	0.007231464688
116	0.006958852869
117	0.006834973015
118	0.006756254012
119	0.006740304143
120	0.006527374641
121	0.006384791287
122	0.006233182289
123	0.006050064683
124	0.005936924843
125	0.005836291419
126	0.005683117057
127	0.005650960605
128	0.005552826587
129	0.005402016411
130	0.005238953216
131	0.005164647983
132	0.005100599338
133	0.004984445129
134	0.004941009402
135	0.004940987322
136	0.004872956562
137	0.004809296742
138	0.004685688148
139	0.004584206875
140	0.00453981029
141	0.004516750117
142	0.004486505918
143	0.004372216029
144	0.004343238148
145	0.00427960983
146	0.00423894454
147	0.004238917055
148	0.004216692495
149	0.004136655051
150	0.003994088243
151	0.003918176493
152	0.003872907216
153	0.003788663507
154	0.003788709848
155	0.00377266475
156	0.003743754553
157	0.003743767976
158	0.003723660902
159	0.003723611684
160	0.003710296986
161	0.003694622787
162	0.00361974065
163	0.00361974065
164	0.003603078369
165	0.003564124724
166	0.003505938238
167	0.003486749163
168	0.003456986032
169	0.003390113286
170	0.003376724264
171	0.003361971138
172	0.003361963468
173	0.003361930549
174	0.003361948766
175	0.003308152746
176	0.00329057878
177	0.00329057878
178	0.003233352582
179	0.003185974615
180	0.00316548749
181	0.003165484614
182	0.003165393209
183	0.003165377229
184	0.00315130897
185	0.003123095558
186	0.003073240106
187	0.003023568906
188	0.002984678008
189	0.00293296157
190	0.002901944631
191	0.002901944631
192	0.002855448457
193	0.002775021459
194	0.002750022086
195	0.002691930625
196	0.002668439029
197	0.00265108243
198	0.002629918276
199	0.002610477224
200	0.002579829454
201	0.002528249781
202	0.002528251059
203	0.002478789221
204	0.002452107345
205	0.002452084334
206	0.002426882711
207	0.002395158551
208	0.002395162706
209	0.002358023279
210	0.002357945457
211	0.002357930117
212	0.002357924044
213	0.002357895121
214	0.00235795137
215	0.002357930916
216	0.002357941782
217	0.002357848939
218	0.002357852455
219	0.002357909343
220	0.002357909343
221	0.002357909343
222	0.002357851364
223	0.002357837941
224	0.002357802626
225	0.002357865107
226	0.002357801827
227	0.002357803105
228	0.002357819405
229	0.002357770027
230	0.002357769228
231	0.002357751622
232	0.002357722699
233	0.002357700807
234	0.002357700807
235	0.002357673641
236	0.002357673641
237	0.002357648393
238	0.002357623492
239	0.002357574594
240	0.002357637235
241	0.002357615183
242	0.002357590574
243	0.002357547428
244	0.002357578589
245	0.002357525057
246	0.002357586899
247	0.002357534936
248	0.00235752439
249	0.002357520555
250	0.002357475519
251	0.002357422307
252	0.002357422307
253	0.002357422307
254	0.002357406007
255	0.002357406007
256	0.002357406007
257	0.002357406007
258	0.002357406007
259	0.002357426302
260	0.00235734254
261	0.00235734254
262	0.00235732624
263	0.002357323044
264	0.002357323072
265	0.002357300586
266	0.002357296299
267	0.002357290546
268	0.002357259385
269	0.002357301892
270	0.002357269612
271	0.002357246442
272	0.00235723238
273	0.002357242926
274	0.002357198822
275	0.002357222152
276	0.00235717645
277	0.002357150563
278	0.002357134903
279	0.002357155197
280	0.002357147527
281	0.002357118603
282	0.002357125635
283	0.002357119083
284	0.002357101345
285	0.002357103263
286	0.00235705788
287	0.002357055164
288	0.002357055164
289	0.002357037746
290	0.002357037746
291	0.002357050502
292	0.00235696906
293	0.00235696906
294	0.002356990953
295	0.002356990953
296	0.002356990953
297	0.002356990953
298	0.002356990953
299	0.002356990953
